date,inclination_deg,clear_sky_peak_wm2,clear_sky_daily_kwh_m2
2015-01-22,5,549.447,3.15276
2015-01-23,5,553.344,3.18496
2015-01-24,5,557.333,3.21804
2015-01-25,5,561.409,3.25199
2015-01-26,5,565.571,3.2868
2015-01-27,5,569.814,3.32243
2015-01-28,5,574.137,3.3589
2015-01-29,5,578.536,3.39615
2015-01-30,5,583.007,3.43418
2015-01-31,5,587.562,3.47298
2015-02-01,5,592.183,3.51252
2015-02-02,5,596.866,3.55278
2015-02-03,5,601.608,3.59375
2015-02-04,5,606.407,3.6354
2015-02-05,5,611.258,3.67772
2015-02-06,5,616.159,3.72068
2015-02-07,5,621.107,3.76427
2015-02-08,5,626.099,3.80847
2015-02-09,5,631.13,3.85324
2015-02-10,5,636.199,3.89858
2015-02-11,5,641.302,3.94446
2015-02-12,5,646.435,3.99086
2015-02-13,5,651.595,4.03775
2015-02-14,5,656.78,4.08512
2015-02-15,5,662.719,4.1392
2015-02-16,5,668.673,4.19376
2015-02-17,5,674.642,4.24876
2015-02-18,5,680.621,4.30419
2015-02-19,5,686.606,4.36001
2015-02-20,5,692.596,4.41622
2015-02-21,5,698.587,4.47277
2015-02-22,5,704.576,4.52964
2015-02-23,5,710.573,4.58683
2015-02-24,5,716.564,4.64429
2015-02-25,5,722.544,4.70201
2015-02-26,5,728.511,4.75996
2015-02-27,5,734.462,4.81813
2015-02-28,5,740.395,4.87649
2015-03-01,5,746.307,4.935
2015-03-02,5,752.195,4.99366
2015-03-03,5,758.056,5.05245
2015-03-04,5,763.89,5.11133
2015-03-05,5,769.692,5.1703
2015-03-06,5,775.461,5.22932
2015-03-07,5,781.194,5.28837
2015-03-08,5,786.889,5.34744
2015-03-09,5,792.545,5.40651
2015-03-10,5,798.159,5.46556
2015-03-11,5,803.729,5.52455
2015-03-12,5,809.252,5.58349
2015-03-13,5,814.729,5.64234
2015-03-14,5,820.155,5.70108
2015-03-15,5,825.531,5.75971
2015-03-16,5,830.411,5.81373
2015-03-17,5,834.785,5.8631
2015-03-18,5,839.104,5.91226
2015-03-19,5,843.369,5.96118
2015-03-20,5,847.578,6.00986
2015-03-21,5,851.728,6.05827
2015-03-22,5,855.819,6.1064
2015-03-23,5,859.85,6.15423
2015-03-24,5,863.819,6.20175
2015-03-25,5,867.725,6.24893
2015-03-26,5,871.568,6.29576
2015-03-27,5,875.346,6.34224
2015-03-28,5,879.058,6.38834
2015-03-29,5,882.704,6.43405
2015-03-30,5,886.283,6.47936
2015-03-31,5,889.794,6.52426
2015-04-01,5,893.238,6.56873
2015-04-02,5,896.64,6.61276
2015-04-03,5,899.974,6.65635
2015-04-04,5,903.237,6.69948
2015-04-05,5,906.431,6.74213
2015-04-06,5,909.554,6.78431
2015-04-07,5,912.608,6.82599
2015-04-08,5,915.59,6.86718
2015-04-09,5,918.503,6.90786
2015-04-10,5,921.345,6.94803
2015-04-11,5,924.116,6.98767
2015-04-12,5,926.817,7.02677
2015-04-13,5,929.448,7.06533
2015-04-14,5,932.009,7.10334
2015-04-15,5,934.5,7.1408
2015-04-16,5,937.119,7.17974
2015-04-17,5,939.668,7.21811
2015-04-18,5,942.148,7.25591
2015-04-19,5,944.558,7.29311
2015-04-20,5,946.902,7.32973
2015-04-21,5,949.194,7.36575
2015-04-22,5,951.417,7.40116
2015-04-23,5,953.572,7.43597
2015-04-24,5,955.66,7.47016
2015-04-25,5,957.682,7.50372
2015-04-26,5,959.637,7.53667
2015-04-27,5,961.526,7.56899
2015-04-28,5,963.351,7.60068
2015-04-29,5,965.113,7.63174
2015-04-30,5,966.811,7.66215
2015-05-01,5,968.447,7.69193
2015-05-02,5,970.022,7.72106
2015-05-03,5,971.537,7.74955
2015-05-04,5,972.992,7.7774
2015-05-05,5,974.389,7.8046
2015-05-06,5,975.729,7.83115
2015-05-07,5,977.011,7.85704
2015-05-08,5,978.239,7.88229
2015-05-09,5,979.411,7.90689
2015-05-10,5,980.53,7.93083
2015-05-11,5,981.597,7.95412
2015-05-12,5,982.612,7.97675
2015-05-13,5,983.576,7.99872
2015-05-14,5,984.49,8.02003
2015-05-15,5,985.356,8.0407
2015-05-16,5,986.016,8.05896
2015-05-17,5,986.471,8.07482
2015-05-18,5,986.882,8.09002
2015-05-19,5,987.248,8.10457
2015-05-20,5,987.572,8.11844
2015-05-21,5,987.853,8.13167
2015-05-22,5,988.093,8.14423
2015-05-23,5,988.293,8.15614
2015-05-24,5,988.453,8.16739
2015-05-25,5,988.574,8.17798
2015-05-26,5,988.657,8.1879
2015-05-27,5,988.704,8.19717
2015-05-28,5,988.714,8.20579
2015-05-29,5,988.69,8.21376
2015-05-30,5,988.63,8.22107
2015-05-31,5,988.537,8.22773
2015-06-01,5,988.411,8.23374
2015-06-02,5,988.253,8.23909
2015-06-03,5,988.063,8.2438
2015-06-04,5,987.842,8.24786
2015-06-05,5,987.591,8.25128
2015-06-06,5,987.311,8.25405
2015-06-07,5,987.001,8.25619
2015-06-08,5,986.665,8.25768
2015-06-09,5,986.315,8.25852
2015-06-10,5,985.938,8.25873
2015-06-11,5,985.534,8.2583
2015-06-12,5,985.103,8.25722
2015-06-13,5,984.647,8.25552
2015-06-14,5,984.165,8.25317
2015-06-15,5,983.657,8.25019
2015-06-16,5,983.795,8.25412
2015-06-17,5,983.907,8.2574
2015-06-18,5,983.994,8.26005
2015-06-19,5,984.055,8.26207
2015-06-20,5,984.092,8.26345
2015-06-21,5,984.104,8.2642
2015-06-22,5,984.092,8.26431
2015-06-23,5,984.054,8.26379
2015-06-24,5,983.992,8.26264
2015-06-25,5,983.906,8.26086
2015-06-26,5,983.794,8.25845
2015-06-27,5,983.658,8.2554
2015-06-28,5,983.497,8.25173
2015-06-29,5,983.311,8.24743
2015-06-30,5,983.099,8.2425
2015-07-01,5,982.862,8.23695
2015-07-02,5,982.602,8.23077
2015-07-03,5,982.329,8.22397
2015-07-04,5,982.028,8.21654
2015-07-05,5,981.701,8.20848
2015-07-06,5,981.346,8.1998
2015-07-07,5,980.963,8.19049
2015-07-08,5,980.552,8.18056
2015-07-09,5,980.111,8.17001
2015-07-10,5,979.641,8.15883
2015-07-11,5,979.141,8.14703
2015-07-12,5,978.611,8.13461
2015-07-13,5,978.049,8.12156
2015-07-14,5,977.455,8.1079
2015-07-15,5,976.829,8.09362
2015-07-16,5,975.896,8.0757
2015-07-17,5,974.657,8.05413
2015-07-18,5,973.383,8.03196
2015-07-19,5,972.073,8.00919
2015-07-20,5,970.727,7.98581
2015-07-21,5,969.343,7.96183
2015-07-22,5,967.921,7.93726
2015-07-23,5,966.46,7.91208
2015-07-24,5,964.96,7.88631
2015-07-25,5,963.419,7.85994
2015-07-26,5,961.836,7.83298
2015-07-27,5,960.211,7.80542
2015-07-28,5,958.543,7.77727
2015-07-29,5,956.831,7.74853
2015-07-30,5,955.073,7.71921
2015-07-31,5,953.27,7.6893
2015-08-01,5,951.42,7.6588
2015-08-02,5,949.523,7.62772
2015-08-03,5,947.576,7.59606
2015-08-04,5,945.58,7.56382
2015-08-05,5,943.534,7.531
2015-08-06,5,941.436,7.4976
2015-08-07,5,939.285,7.46363
2015-08-08,5,937.082,7.42909
2015-08-09,5,934.825,7.39398
2015-08-10,5,932.512,7.3583
2015-08-11,5,930.145,7.32207
2015-08-12,5,927.721,7.28527
2015-08-13,5,925.24,7.24793
2015-08-14,5,922.701,7.21003
2015-08-15,5,920.104,7.17159
